State/Union Territory,Latitude,Longitude,Type
Andhra Pradesh,15.9129,79.74,State
Arunachal Pradesh,28.218,94.7278,State
Assam,26.2006,92.9376,State
Bihar,25.0961,85.3131,State
Chhattisgarh,21.2787,81.8661,State
Goa,15.2993,74.124,State
Gujarat,22.2587,71.1924,State
Haryana,29.0588,76.0856,State
Himachal Pradesh,31.1048,77.1734,State
Jharkhand,23.6102,85.2799,State
Karnataka,15.3173,75.7139,State
Kerala,10.8505,76.2711,State
Madhya Pradesh,22.9734,78.6569,State
Maharashtra,19.7515,75.7139,State
Manipur,24.6637,93.9063,State
Meghalaya,25.467,91.3662,State
Mizoram,23.1645,92.9376,State
Nagaland,26.1584,94.5624,State
Odisha,20.9517,85.0985,State
Punjab,31.1471,75.3412,State
Rajasthan,27.0238,74.2179,State
Sikkim,27.533,88.5122,State
Tamil Nadu,11.1271,78.6569,State
Telangana,18.1124,79.0193,State
Tripura,23.9408,91.9882,State
Uttar Pradesh,26.8467,80.9462,State
Uttarakhand,30.0668,79.0193,State
West Bengal,22.9868,87.855,State
Andaman and Nicobar Islands,11.7401,92.6586,Union Territory
Chandigarh,30.7333,76.7794,Union Territory
Dadra and Nagar Haveli and Daman and Diu,20.1809,73.0169,Union Territory
Delhi,28.7041,77.1025,Union Territory
Jammu and Kashmir,33.7782,76.5762,Union Territory
Ladakh,34.2996,78.2932,Union Territory
Lakshadweep,10.328,72.7846,Union Territory
Puducherry,11.9416,79.8083,Union Territory   
