Sl. No.,State/ UT,Total EV,Total Vehicles Sold,% of Share of EV in Total Vehicles Sold
1,Uttar Pradesh,665247,15317699,4.34
2,Maharashtra,439358,11055082,3.97
3,Karnataka,350810,7315250,4.8
4,Tamil Nadu,228850,8476042,2.7
5,Rajasthan,233503,6490725,3.6
6,Bihar,214921,5763437,3.73
7,Delhi,216084,2799571,7.72
8,Gujarat,191185,7450473,2.57
9,Madhya Pradesh,144782,6812437,2.13
10,Kerala,151029,3781393,3.99
11,Assam,150617,2599986,5.79
12,Odisha,97056,3355237,2.89
13,Andhra Pradesh,88534,4772995,1.85
14,Chhattisgarh,80348,2656935,3.02
15,Haryana,81775,3703954,2.21
16,West Bengal,69220,5099551,1.36
17,Punjab,56459,2973281,1.9
18,Jharkhand,47400,2545053,1.86
19,Uttarakhand,48522,1120010,4.33
20,Jammu and Kashmir,19099,823164,2.32
21,Goa,20330,323748,6.28
22,Tripura,20113,264004,7.62
23,Chandigarh,12375,219391,5.64
24,Puducherry,5933,252488,2.35
25,Himachal Pradesh,3043,636556,0.48
26,Manipur,1273,168310,0.76
27,Meghalaya,572,162249,0.35
28,Mizoram,344,136845,0.25
29,Dadra and Nagar Haveli and Daman and Diu,468,90571,0.52
30,Andaman and Nicobar Islands,191,35896,0.53
31,Ladakh,88,19645,0.45
32,Arunachal Pradesh,42,137145,0.03
33,Nagaland,27,119281,0.02
34,Lakshadweep,19,2752,0.69
35,Sikkim,NA,49884,0
Total,Total,3639617,107531040,3.38
