Station_ID,State,Latitude,Longitude,Connector_Count,Station_Type
ST000001,Andaman & Nicobar,11.606038,92.793439,2,Standard
ST000002,Andaman & Nicobar,11.726583,92.539634,2,Standard
ST000003,Andaman & Nicobar,11.757471,92.684516,2,Standard
ST000004,Andhra Pradesh,16.074726,79.801828,2,Standard
ST000005,Andhra Pradesh,15.798917,79.65596,2,Standard
ST000006,Andhra Pradesh,16.105262,79.765019,2,Standard
ST000007,Andhra Pradesh,15.933928,79.703104,2,Standard
ST000008,Andhra Pradesh,15.928136,79.773367,4,Standard
ST000009,Andhra Pradesh,15.87782,79.838915,6,Hub
ST000010,Andhra Pradesh,15.859898,79.764154,2,Standard
ST000011,Andhra Pradesh,15.891612,79.721968,4,Standard
ST000012,Andhra Pradesh,15.893723,79.810718,2,Standard
ST000013,Andhra Pradesh,15.761809,79.782797,2,Standard
ST000014,Andhra Pradesh,15.944882,79.837748,2,Standard
ST000015,Andhra Pradesh,15.905133,79.734904,2,Standard
ST000016,Andhra Pradesh,15.88629,79.718669,2,Standard
ST000017,Andhra Pradesh,16.087044,79.815426,2,Standard
ST000018,Andhra Pradesh,16.070825,79.705358,2,Standard
ST000019,Andhra Pradesh,15.906328,79.758396,2,Standard
ST000020,Andhra Pradesh,15.87755,79.659379,2,Standard
ST000021,Andhra Pradesh,15.98422,79.808713,2,Standard
ST000022,Andhra Pradesh,16.090535,79.77899,2,Standard
ST000023,Andhra Pradesh,15.905594,79.872303,2,Standard
ST000024,Andhra Pradesh,15.873573,79.836292,2,Standard
ST000025,Andhra Pradesh,15.87751,79.729305,2,Standard
ST000026,Andhra Pradesh,16.065104,79.710554,2,Standard
ST000027,Andhra Pradesh,16.07909,79.673595,2,Standard
ST000028,Andhra Pradesh,15.762321,79.633605,2,Standard
ST000029,Andhra Pradesh,15.946192,79.760688,2,Standard
ST000030,Andhra Pradesh,15.975357,79.758242,2,Standard
ST000031,Andhra Pradesh,15.871373,79.774939,2,Standard
ST000032,Andhra Pradesh,15.946776,79.677204,2,Standard
ST000033,Andhra Pradesh,15.891936,79.846495,4,Standard
ST000034,Andhra Pradesh,16.014448,79.864212,4,Standard
ST000035,Andhra Pradesh,16.089017,79.829111,2,Standard
ST000036,Andhra Pradesh,15.918437,79.700644,2,Standard
ST000037,Andhra Pradesh,16.075894,79.745658,2,Standard
ST000038,Andhra Pradesh,15.873859,79.599523,2,Standard
ST000039,Andhra Pradesh,15.914873,79.725323,2,Standard
ST000040,Andhra Pradesh,15.898301,79.757997,2,Standard
ST000041,Andhra Pradesh,15.994219,79.645516,4,Standard
ST000042,Andhra Pradesh,15.906713,79.751105,2,Standard
ST000043,Andhra Pradesh,15.888586,79.800321,2,Standard
ST000044,Andhra Pradesh,15.896606,79.613534,2,Standard
ST000045,Andhra Pradesh,15.984604,79.678535,2,Standard
ST000046,Andhra Pradesh,16.017135,79.837385,2,Standard
ST000047,Andhra Pradesh,15.920501,79.628002,2,Standard
ST000048,Andhra Pradesh,15.925873,79.642097,2,Standard
ST000049,Andhra Pradesh,15.828263,79.727828,4,Standard
ST000050,Andhra Pradesh,15.934204,79.743432,2,Standard
ST000051,Andhra Pradesh,16.037708,79.764972,4,Standard
ST000052,Andhra Pradesh,15.872883,79.833511,2,Standard
ST000053,Andhra Pradesh,15.954583,79.712644,2,Standard
ST000054,Andhra Pradesh,15.785119,79.820662,2,Standard
ST000055,Andhra Pradesh,15.914945,79.75526,6,Hub
ST000056,Andhra Pradesh,15.90493,79.771244,2,Standard
ST000057,Andhra Pradesh,16.059011,79.670906,2,Standard
ST000058,Andhra Pradesh,15.796333,79.610424,2,Standard
ST000059,Andhra Pradesh,15.925246,79.704788,2,Standard
ST000060,Andhra Pradesh,15.997109,79.672587,2,Standard
ST000061,Andhra Pradesh,15.976186,79.572328,4,Standard
ST000062,Andhra Pradesh,15.903779,79.760032,2,Standard
ST000063,Andhra Pradesh,15.924705,79.824602,2,Standard
ST000064,Andhra Pradesh,15.984248,79.583335,6,Hub
ST000065,Andhra Pradesh,16.014952,79.744461,2,Standard
ST000066,Andhra Pradesh,15.874326,79.762031,2,Standard
ST000067,Andhra Pradesh,15.962161,79.786181,2,Standard
ST000068,Andhra Pradesh,15.973426,79.717307,2,Standard
ST000069,Andhra Pradesh,15.773275,79.723438,4,Standard
ST000070,Andhra Pradesh,15.78563,79.88689,2,Standard
ST000071,Andhra Pradesh,15.961861,79.728228,4,Standard
ST000072,Andhra Pradesh,15.852733,79.74104,2,Standard
ST000073,Andhra Pradesh,15.911298,79.747201,2,Standard
ST000074,Andhra Pradesh,15.835261,79.676128,2,Standard
ST000075,Andhra Pradesh,15.965739,79.757713,2,Standard
ST000076,Andhra Pradesh,15.953072,79.713888,2,Standard
ST000077,Andhra Pradesh,15.972949,79.817309,2,Standard
ST000078,Andhra Pradesh,15.961114,79.735641,2,Standard
ST000079,Andhra Pradesh,15.841315,79.605545,4,Standard
ST000080,Andhra Pradesh,15.924202,79.885204,2,Standard
ST000081,Andhra Pradesh,15.827624,79.833383,2,Standard
ST000082,Andhra Pradesh,15.841298,79.66028,2,Standard
ST000083,Andhra Pradesh,16.053791,79.829772,4,Standard
ST000084,Andhra Pradesh,15.896852,79.773675,2,Standard
ST000085,Andhra Pradesh,16.027221,79.769947,2,Standard
ST000086,Andhra Pradesh,15.911442,79.73702,2,Standard
ST000087,Andhra Pradesh,15.867732,79.736561,2,Standard
ST000088,Andhra Pradesh,15.891556,79.712422,2,Standard
ST000089,Andhra Pradesh,15.884851,79.667918,2,Standard
ST000090,Andhra Pradesh,15.938259,79.729352,4,Standard
ST000091,Andhra Pradesh,15.900611,79.75908,2,Standard
ST000092,Andhra Pradesh,16.069089,79.660038,2,Standard
ST000093,Andhra Pradesh,15.906316,79.871833,4,Standard
ST000094,Andhra Pradesh,15.958418,79.638718,4,Standard
ST000095,Andhra Pradesh,15.865367,79.731041,2,Standard
ST000096,Andhra Pradesh,16.062506,79.839086,6,Hub
ST000097,Andhra Pradesh,16.015533,79.665844,8,Hub
ST000098,Andhra Pradesh,15.875837,79.799197,6,Hub
ST000099,Andhra Pradesh,15.885897,79.562622,4,Standard
ST000100,Andhra Pradesh,16.031241,79.638394,2,Standard
ST000101,Andhra Pradesh,15.90234,79.726898,2,Standard
ST000102,Andhra Pradesh,16.007636,79.892712,2,Standard
ST000103,Andhra Pradesh,15.911457,79.73886,2,Standard
ST000104,Andhra Pradesh,16.019531,79.818989,2,Standard
ST000105,Andhra Pradesh,15.945045,79.741023,2,Standard
ST000106,Andhra Pradesh,15.780958,79.698287,2,Standard
ST000107,Andhra Pradesh,15.886985,79.70339,2,Standard
ST000108,Andhra Pradesh,15.90173,79.693884,4,Standard
ST000109,Andhra Pradesh,15.844786,79.872855,4,Standard
ST000110,Andhra Pradesh,15.812751,79.602823,2,Standard
ST000111,Andhra Pradesh,15.850565,79.644956,2,Standard
ST000112,Andhra Pradesh,15.974068,79.780829,4,Standard
ST000113,Andhra Pradesh,15.908246,79.788575,4,Standard
ST000114,Andhra Pradesh,15.990392,79.726732,6,Hub
ST000115,Andhra Pradesh,16.011187,79.660797,8,Hub
ST000116,Andhra Pradesh,15.940832,79.643431,6,Hub
ST000117,Andhra Pradesh,15.825674,79.694234,2,Standard
ST000118,Andhra Pradesh,15.961637,79.876023,2,Standard
ST000119,Andhra Pradesh,15.911966,79.744773,4,Standard
ST000120,Andhra Pradesh,15.891273,79.711947,2,Standard
ST000121,Andhra Pradesh,16.09049,79.670279,4,Standard
ST000122,Andhra Pradesh,15.97659,79.70226,2,Standard
ST000123,Andhra Pradesh,16.097689,79.758003,4,Standard
ST000124,Andhra Pradesh,15.738919,79.824307,2,Standard
ST000125,Andhra Pradesh,16.079064,79.701342,2,Standard
ST000126,Andhra Pradesh,15.891668,79.814035,2,Standard
ST000127,Andhra Pradesh,15.950522,79.688988,6,Hub
ST000128,Andhra Pradesh,15.966859,79.837414,2,Standard
ST000129,Andhra Pradesh,16.041055,79.685643,6,Hub
ST000130,Andhra Pradesh,15.895318,79.731718,4,Standard
ST000131,Andhra Pradesh,15.764376,79.609046,2,Standard
ST000132,Andhra Pradesh,15.978937,79.819911,4,Standard
ST000133,Andhra Pradesh,16.019211,79.636813,2,Standard
ST000134,Andhra Pradesh,15.866986,79.607217,2,Standard
ST000135,Andhra Pradesh,15.875616,79.785363,2,Standard
ST000136,Andhra Pradesh,15.971939,79.589117,4,Standard
ST000137,Andhra Pradesh,16.035461,79.604578,2,Standard
ST000138,Andhra Pradesh,15.812851,79.732858,2,Standard
ST000139,Andhra Pradesh,15.951743,79.615946,2,Standard
ST000140,Andhra Pradesh,15.865592,79.588035,2,Standard
ST000141,Andhra Pradesh,15.964987,79.696913,2,Standard
ST000142,Andhra Pradesh,15.89956,79.753242,2,Standard
ST000143,Andhra Pradesh,15.906564,79.736605,2,Standard
ST000144,Andhra Pradesh,15.806897,79.763277,2,Standard
ST000145,Andhra Pradesh,15.886007,79.855066,2,Standard
ST000146,Andhra Pradesh,15.920233,79.741423,2,Standard
ST000147,Andhra Pradesh,15.944633,79.675328,2,Standard
ST000148,Andhra Pradesh,15.985794,79.814806,2,Standard
ST000149,Andhra Pradesh,15.918308,79.697176,2,Standard
ST000150,Andhra Pradesh,15.900671,79.728091,2,Standard
ST000151,Andhra Pradesh,16.013617,79.773906,2,Standard
ST000152,Andhra Pradesh,15.789547,79.707803,2,Standard
ST000153,Andhra Pradesh,15.883691,79.547028,2,Standard
ST000154,Andhra Pradesh,15.848647,79.733396,4,Standard
ST000155,Andhra Pradesh,15.928073,79.688002,2,Standard
ST000156,Andhra Pradesh,15.898348,79.745871,2,Standard
ST000157,Andhra Pradesh,16.102992,79.770537,2,Standard
ST000158,Andhra Pradesh,15.984492,79.620628,2,Standard
ST000159,Andhra Pradesh,15.883759,79.758763,4,Standard
ST000160,Andhra Pradesh,15.940657,79.781647,2,Standard
ST000161,Andhra Pradesh,15.776763,79.696497,2,Standard
ST000162,Andhra Pradesh,15.882959,79.692692,2,Standard
ST000163,Andhra Pradesh,16.054585,79.698707,2,Standard
ST000164,Andhra Pradesh,15.797621,79.699025,2,Standard
ST000165,Andhra Pradesh,15.869542,79.763978,2,Standard
ST000166,Andhra Pradesh,15.819272,79.859193,2,Standard
ST000167,Andhra Pradesh,15.93602,79.742097,2,Standard
